string_combination,,id,em,dm,events,lat_play,trips,seeds,tnb,online,ap,tp,string,sum,organization,total_amount,group,color,segment,Opportunities,,,
EM Online Account's Play Trips Lattice Play,,158,1,0,0,1,1,0,0,1,1,0,1001100110,5, EM Online Account's Play Trips  Lattice Play,40000,Low,#DC5034,G500,1,,,
EM Online Account's Play Trips Third Party Lattice Play,,159,1,0,0,1,1,0,0,1,1,1,1001100111,6, EM Online Account's Play Trips Third Party Lattice Play,388462,High,#7AB800,G500,3,,,
EM Online Account's Play Trips Try n' Buy Third Party Lattice Play,,160,1,0,0,1,1,0,1,1,1,1,1001101111,7, EM Online Account's Play Trips  Try n' Buy Third Party Lattice Play,499500,High,#7AB800,G500,1,,,
EM Online Events Lattice Play,,161,1,0,1,1,0,0,0,1,0,0,1011000100,4, EM Online Events Lattice Play,6307500,High,#7AB800,G500,2,,,
EM Online Events Third Party,,162,1,0,1,0,0,0,0,1,0,1,1010000101,4, EM Online Events Third Party ,178000,Medium,#c1d82f,G500,2,,,
EM Online Events Third Party Lattice Play,,163,1,0,1,1,0,0,0,1,0,1,1011000101,5, EM Online Events Third Party Lattice Play,295890,High,#7AB800,G500,2,,,
EM Online Events Trips Third Party Lattice Play,,164,1,0,1,1,1,0,0,1,0,1,1011100101,6, EM Online Events  Trips Third Party Lattice Play,161277,Medium,#c1d82f,G500,52,,,
EM Online Events Trips Try n' Buy Third Party Lattice Play,,165,1,0,1,1,1,0,1,1,0,1,1011101101,7, EM Online Events  Trips  Try n' Buy Third Party Lattice Play,80405,Low,#DC5034,G500,8,,,
EM Online Events Seeds Trips Third Party Lattice Play,,166,1,0,1,1,1,1,0,1,0,1,1011110101,7, EM Online Events Keep It  Trips Third Party Lattice Play,1739663,High,#7AB800,G500,4,,,
EM Online Events Seeds Trips Try n' Buy Third Party Lattice Play,,167,1,0,1,1,1,1,1,1,0,1,1011111101,8, EM Online Events Keep It  Trips  Try n' Buy Third Party Lattice Play,192667,Medium,#c1d82f,G500,4,,,
EM Online Events Account's Play Third Party Lattice Play,,168,1,0,1,1,0,0,0,1,1,1,1011000111,6, EM Online Events Account's Play Third Party Lattice Play,26000,Low,#DC5034,G500,1,,,
EM Online Events Account's Play Trips Lattice Play,,169,1,0,1,1,1,0,0,1,1,0,1011100110,6, EM Online Events Account's Play Trips  Lattice Play,38803,Low,#DC5034,G500,2,,,
EM Online Events Account's Play Trips Third Party Lattice Play,,170,1,0,1,1,1,0,0,1,1,1,1011100111,7, EM Online Events Account's Play Trips Third Party Lattice Play,113843,Medium,#c1d82f,G500,39,,,
EM Online Events Account's Play Trips Try n' Buy Third Party Lattice Play,,171,1,0,1,1,1,0,1,1,1,1,1011101111,8, EM Online Events Account's Play Trips  Try n' Buy Third Party Lattice Play,70458,Low,#DC5034,G500,6,,,
